# Capture Picture retest on the transport fix (18:32): three rounds of leave, re-enter, capture; Back pressed mid-run in round three. Then (18:54) the same on the fix for that: Back mid-run, re-enter, camera switch. App feat/capture-keep-awake (uncommitted) on firmware ae_review e8b7feb5
# Started 2026-09-03 18:27:23. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (known adapter FTFAERNNA)
# nrf   = COM5 @ 115200 (known adapter FTH0BZPJA)
#
# Filtered to app writes and hook logs (minus hex dumps, heartbeats and the empty self-test lines), the device's Sleep/Wake/Captured/Finished/slot replies, and, on the nRF and Himax, the command arrivals, the packet numbers around each restart, the sleep entries, the state changes of the image task and the resets.
[05:04.357] app   | Extracting services and characteristics.
[06:59.990] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   AE Mean = 69
[06:59.990] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   AEConverged?: Y
[07:00.274] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: HM0360 motion in 0 blocks:
[07:00.274] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
[07:00.507] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Captured 1 images. Last is 592008A0.JPG (File write 47ms avg.)
[07:00.841] app   | [useCapturePreview] Phase 2 complete — captured: 592008A0.JPG
[07:00.841] app   | [useCapturePreview] Device held awake; sending txfile without waiting for sleep
[07:00.841] app   | [useCapturePreview] Phase 3: Transfer — requesting txfile 592008A0.JPG
[07:00.891] app   | Written AI txfile 592008A0.JPG to the device WILD-CNKW (18:34:25-179)
[07:01.041] himax | MKL62BA command received: 'txfile 592008A0.JPG'
[07:01.041] himax | 13034 bytes in 592008A0.JPG
[07:01.041] himax | Sending 33 bytes: Header 4, payload 27, checksum 2 '13034 bytes in 592008A0.JPG'
[07:01.107] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: 13034 bytes in 592008A0.JPG
[07:01.107] app   | [useBleListeners] Detected image transfer start: 592008A0.JPG (13034 bytes)
[07:01.107] app   | ImageReassembler: Initializing transfer for 13034 bytes
[07:01.540] nrf   | BLE in: Received  22 bytes 'AI txfile 592008A0.JPG'
[07:01.540] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[07:01.540] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 1): 
[07:01.841] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 2): 
[07:11.264] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 50): 
[07:11.264] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 51): 
[07:11.572] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 52): 
[07:12.056] himax | Finished sending 13034 bytes (55 packets)
[07:12.056] himax | Sending 47 bytes: Header 4, payload 41, checksum 2 'Finished sending 13034 bytes (55 packets)'
[07:12.624] app   | ImageReassembler: Transfer complete! Received 13034/13034 (0 gaps)
[07:12.693] app   | ImageReassembler: Image saved to file:///data/user/0/com.wildlife.wildlifewatcher.expo/cache/capture_1788417276907.jpg [SUCCESS] (13034/13034 bytes)
[07:12.693] app   | '[useCapturePreview] Image download complete, URI:', 'file:///data/user/0/com.wildlife.wildlifewatcher.expo/cache/capture_1788417276907.jpg'
[07:12.807] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Finished sending 13034 bytes (55 packets)
[07:14.473] app   | Written AI setop 8 1000 to the device WILD-CNKW (18:34:38-755)
[07:14.757] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 8 = 1000
[07:14.806] himax | MKL62BA command received: 'setop 8 1000'
[07:14.922] nrf   | BLE in: Received  15 bytes 'AI setop 8 1000'
[07:14.922] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[07:15.200] app   | [KeepAwake] op8 on D6:47:9B:89:E7:23 restored to 1000 (release)
[07:17.840] himax | Inactive for 3000ms
[07:17.840] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[07:17.840] himax | Image task ready to sleep.
[07:17.840] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[07:17.840] himax | >>> Entering DPD at 2024:01:01 00:00:29
[07:17.883] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[07:22.767] app   | Written AI slots to the device WILD-CNKW (18:34:47-049)
[07:22.806] nrf   | BLE in: Received   8 bytes 'AI slots'
[07:22.806] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[07:23.023] himax | Inactivity period set at 1000ms
[07:23.023] himax | MKL62BA command received: 'selftest'
[07:23.140] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[07:23.324] himax | MKL62BA command received: 'slots'
[07:23.408] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[07:23.674] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 0 running 'HM0360 (night/IR)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[07:23.982] app   | Written AI getop -1 to the device WILD-CNKW (18:34:48-262)
[07:24.224] himax | Inactive for 1000ms
[07:24.224] himax | MKL62BA command received: 'getop -1'
[07:24.224] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[07:24.224] himax | Image task ready to sleep.
[07:24.224] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[07:24.325] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 21 0 0 6 53 1 500 0 1000 80 1 0 100 1 0 0 18 1 0 15 0 2 50 65 15 0 0 286 326 1 110 1 
[07:24.539] himax | >>> Entering DPD at 2024:01:01 00:00:36
[07:24.607] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[07:24.639] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[07:24.639] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[07:24.871] app   | [Resolution] firmware exposes 32 ops, no op32: hi-res unavailable
[07:25.128] app   | Written AI getop -1 to the device WILD-CNKW (18:34:49-411)
[07:25.540] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[07:25.540] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[07:25.757] himax | Inactivity period set at 1000ms
[07:25.757] himax | MKL62BA command received: 'selftest'
[07:25.874] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[07:25.889] app   | [OpCache] dropped on wake for D6:47:9B:89:E7:23
[07:26.072] himax | MKL62BA command received: 'getop -1'
[07:26.156] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[07:26.458] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 21 0 0 6 54 1 500 0 1000 80 1 0 100 1 0 0 18 1 0 15 0 2 50 65 15 0 0 286 326 1 110 1 
[07:26.879] app   | Written selftest to the device WILD-CNKW (18:34:51-163)
[07:26.974] himax | Inactive for 1000ms
[07:26.974] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[07:26.974] himax | Image task ready to sleep.
[07:26.974] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[07:26.974] himax | >>> Entering DPD at 2024:01:01 00:00:39
[07:27.040] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[07:27.072] nrf   | BLE in: Received   8 bytes 'selftest'
[07:27.624] app   | [SelfTest] bits=0x0000
[07:27.657] app   | Written AI getop -1 to the device WILD-CNKW (18:34:51-949)
[07:27.974] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[07:27.974] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[07:28.206] himax | Inactivity period set at 1000ms
[07:28.407] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[07:28.407] app   | [OpCache] dropped on wake for D6:47:9B:89:E7:23
[07:28.506] himax | MKL62BA command received: 'selftest'
[07:28.506] himax | MKL62BA command received: 'getop -1'
[07:28.589] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[07:28.974] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 21 0 0 6 55 1 500 0 1000 80 1 0 100 1 0 0 18 1 0 15 0 2 50 65 15 0 0 286 326 1 110 1 
[07:29.290] app   | Written AI getop -1 to the device WILD-CNKW (18:34:53-582)
[07:29.407] himax | Inactive for 1000ms
[07:29.407] himax | MKL62BA command received: 'getop -1'
[07:29.589] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 21 0 0 6 55 1 500 0 1000 80 1 0 100 1 0 0 18 1 0 15 0 2 50 65 15 0 0 286 326 1 110 1 
[07:29.722] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[07:29.722] himax | Image task ready to sleep.
[07:29.722] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[07:29.722] himax | >>> Entering DPD at 2024:01:01 00:00:41
[07:29.822] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[07:29.822] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[07:29.891] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[07:30.424] app   | Written AI slots to the device WILD-CNKW (18:34:54-701)
[07:30.740] nrf   | BLE in: Received   8 bytes 'AI slots'
[07:30.740] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[07:30.940] himax | Inactivity period set at 1000ms
[07:31.146] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[07:31.149] app   | [OpCache] dropped on wake for D6:47:9B:89:E7:23
[07:31.240] himax | MKL62BA command received: 'selftest'
[07:31.240] himax | MKL62BA command received: 'slots'
[07:31.341] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[07:31.768] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 0 running 'HM0360 (night/IR)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[07:32.090] app   | [useCameraSwitch] switching from HM0360 to RP3
[07:32.121] app   | Written AI setop 8 3000 to the device WILD-CNKW (18:34:56-403)
[07:32.157] himax | Inactive for 1000ms
[07:32.157] himax | MKL62BA command received: 'setop 8 3000'
[07:32.257] nrf   | BLE in: Received  15 bytes 'AI setop 8 3000'
[07:32.257] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[07:32.307] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 8 = 3000
[07:32.457] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[07:32.457] himax | Image task ready to sleep.
[07:32.457] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[07:32.457] himax | >>> Entering DPD at 2024:01:01 00:00:44
[07:32.625] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[07:32.935] app   | [KeepAwake] holding D6:47:9B:89:E7:23 awake: op8 1000 -> 3000
[07:33.140] app   | Written AI switchslot to the device WILD-CNKW (18:34:57-431)
[07:33.472] nrf   | BLE in: Received  13 bytes 'AI switchslot'
[07:33.472] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[07:33.673] himax | Inactivity period set at 3000ms
[07:33.873] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[07:33.974] himax | MKL62BA command received: 'selftest'
[07:33.974] himax | MKL62BA command received: 'switchslot'
[07:33.974] himax | Switched to slot 1 ('RP3 (day/colour)'). Reset scheduled.
[07:33.974] himax | Sending 63 bytes: Header 4, payload 57, checksum 2 'Switched to slot 1 ('RP3 (day/colour)'). Reset scheduled.'
[07:34.074] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[07:34.557] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Switched to slot 1 ('RP3 (day/colour)'). Reset scheduled.
[07:37.040] himax | Inactive for 3000ms
[07:37.040] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[07:37.040] himax | Image task ready to sleep.
[07:37.040] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[07:37.040] himax | >>> Reset by watchdog
[07:37.190] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[07:37.190] app   | [BleSession] SLEEP signal detected — proceeding.
[07:40.707] himax | Inactivity period set at 1000ms
[07:42.057] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[07:42.066] app   | [BleSession] WAKE signal detected — proceeding.
[07:42.224] himax | MKL62BA command received: 'selftest'
[07:42.539] himax | MKL62BA command received: 'slots'
[07:42.639] nrf   | BLE in: Received   8 bytes 'AI slots'
[07:42.639] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[07:42.741] app   | Written AI slots to the device WILD-CNKW (18:35:07-030)
[07:42.741] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[07:43.090] app   | [useCameraSwitch] now running RP3
[07:43.116] app   | Written AI getop -1 to the device WILD-CNKW (18:35:07-398)
[07:43.440] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 21 0 0 7 57 1 500 0 3000 80 1 0 100 1 0 0 18 1 0 15 0 2 50 65 15 0 0 286 326 1 110 1 
[07:43.441] himax | MKL62BA command received: 'getop -1'
[07:43.542] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[07:43.542] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[07:43.825] app   | [Resolution] firmware exposes 32 ops, no op32: hi-res unavailable
[07:44.372] himax | Inactive for 1000ms
[07:44.372] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[07:44.372] himax | Image task ready to sleep.
[07:44.372] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[07:44.608] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[07:44.673] himax | >>> Entering DPD at 2024:01:01 00:00:05
[07:45.890] app   | Written AI setop 25 1 to the device WILD-CNKW (18:35:10-173)
[07:45.991] nrf   | BLE in: Received  13 bytes 'AI setop 25 1'
[07:45.991] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[07:46.205] himax | Inactivity period set at 3000ms
[07:46.549] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[07:46.557] app   | [OpCache] dropped on wake for D6:47:9B:89:E7:23
[07:46.807] himax | MKL62BA command received: 'selftest'
[07:46.807] himax | MKL62BA command received: 'setop 25 1'
[07:46.907] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[07:47.214] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 25 = 1
[07:49.889] himax | Inactive for 3000ms
[07:49.889] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[07:49.889] himax | Image task ready to sleep.
[07:49.889] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[07:49.889] himax | >>> Entering DPD at 2024:01:01 00:00:10
[07:50.056] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[07:50.056] app   | [BleSession] SLEEP signal detected — proceeding.
[07:50.390] app   | [useCapturePreview] startCapture called (count=1, interval=500)
[07:50.390] app   | [useCapturePreview] Phase 1: Setup — checking device state
[07:50.408] app   | Written AI getop -1 to the device WILD-CNKW (18:35:14-690)
[07:50.556] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[07:50.556] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[07:51.106] himax | Inactivity period set at 3000ms
[07:51.224] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[07:51.406] himax | MKL62BA command received: 'selftest'
[07:51.406] himax | MKL62BA command received: 'getop -1'
[07:51.472] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[07:51.956] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 21 0 0 7 59 1 500 0 3000 80 1 0 100 1 0 0 18 1 0 15 0 2 50 65 15 1 0 286 326 1 110 1 
[07:52.306] app   | [useCapturePreview] Phase 1 complete — waiting for device to sleep
[07:52.306] app   | Written AI setop 8 1000 to the device WILD-CNKW (18:35:16-597)
[07:52.596] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 8 = 1000
[07:52.640] himax | MKL62BA command received: 'setop 8 1000'
[07:52.690] nrf   | BLE in: Received  15 bytes 'AI setop 8 1000'
[07:52.690] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[07:53.224] app   | [KeepAwake] op8 on D6:47:9B:89:E7:23 restored to 1000 (release)
[07:55.690] himax | Inactive for 3000ms
[07:55.690] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[07:55.690] himax | Image task ready to sleep.
[07:55.690] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[07:55.690] himax | >>> Entering DPD at 2024:01:01 00:00:16
[07:55.723] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[07:55.723] app   | [BleSession] SLEEP signal detected — proceeding.
[07:56.073] app   | [useCapturePreview] Phase 2: Capture — sending AI capture 1 500
[07:56.090] app   | Written AI capture 1 500 to the device WILD-CNKW (18:35:20-375)
[07:56.357] nrf   | BLE in: Received  16 bytes 'AI capture 1 500'
[07:56.357] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[07:56.922] himax | Inactivity period set at 1000ms
[07:57.074] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[07:57.074] app   | [OpCache] dropped on wake for D6:47:9B:89:E7:23
[07:57.156] himax | MKL62BA command received: 'selftest'
[07:57.156] himax | MKL62BA command received: 'capture 1 500'
[07:57.341] himax | IMAGE Task state changed from 'Init' (1) to 'Capturing' (2)
[07:57.540] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[07:57.656] himax | SW JPEG 25929 bytes in 187ms
[07:57.656] himax | IMAGE Task state changed from 'Capturing' (2) to 'NN Processing' (3)
[07:57.780] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: About to capture 1 image with an interval of '500' milliseconds
[07:57.957] himax | Sending 68 bytes: Header 4, payload 62, checksum 2 'Captured 1 images. Last is 59200920.JPG (File write 65ms avg.)'
[07:57.957] himax | IMAGE Task state changed from 'NN Processing' (3) to 'Init' (1)
[07:58.123] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: AE light check: AGain = 2, conv=Y -> BRIGHT (change)
[07:58.524] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: HM0360 AE regs:
[07:58.524] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Integration time = 376 lines
[07:58.524] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Analog gain = 2
[07:58.524] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Digital gain = 118
[07:58.524] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   AE Mean = 61
[07:58.524] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   AEConverged?: Y
[07:58.873] himax | Inactive for 1000ms
[07:58.873] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[07:58.873] himax | Image task ready to sleep.
[07:58.873] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[07:58.873] himax | >>> Entering DPD at 2024:01:01 00:00:20
[07:58.906] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: HM0360 motion in 0 blocks:
[07:58.906] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
[07:59.290] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Captured 1 images. Last is 59200920.JPG (File write 65ms avg.)
[07:59.673] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[08:00.056] app   | [useCapturePreview] Phase 2 complete — captured: 59200920.JPG
[08:00.056] app   | [useCapturePreview] Waiting for device to sleep after capture (Save State + DPD)
[08:00.056] app   | [BleSession] Device already asleep — proceeding immediately.
[08:00.057] app   | [useCapturePreview] Phase 3: Transfer — requesting txfile 59200920.JPG
[08:00.057] app   | Written AI txfile 59200920.JPG to the device WILD-CNKW (18:35:24-341)
[08:00.306] nrf   | BLE in: Received  22 bytes 'AI txfile 59200920.JPG'
[08:00.306] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[08:00.706] himax | Inactivity period set at 1000ms
[08:00.990] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[08:01.006] himax | MKL62BA command received: 'selftest'
[08:01.156] himax | MKL62BA command received: 'txfile 59200920.JPG'
[08:01.156] himax | 26439 bytes in 59200920.JPG
[08:01.156] himax | Sending 33 bytes: Header 4, payload 27, checksum 2 '26439 bytes in 59200920.JPG'
[08:01.523] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[08:01.739] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 1): 
[08:01.739] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 2): 
[08:01.856] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: 26439 bytes in 59200920.JPG
[08:01.856] app   | [useBleListeners] Detected image transfer start: 59200920.JPG (26439 bytes)
[08:01.856] app   | ImageReassembler: Initializing transfer for 26439 bytes
[08:11.505] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 50): 
[08:12.039] app   | Written AI slots to the device WILD-CNKW (18:35:36-326)
[08:12.107] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 51): 
[08:12.422] nrf   | BLE in: Received   8 bytes 'AI slots'
[08:12.422] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[08:12.422] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 1): 
[08:12.422] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 2): 
[08:12.673] app   | ImageReassembler: Sequence gap — expected 52, got 1 (205 total gaps)
[08:19.769] app   | Written AI slots to the device WILD-CNKW (18:35:44-050)
[08:20.357] nrf   | BLE in: Received   8 bytes 'AI slots'
[08:20.357] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: PROCESSING)
[08:22.190] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[08:22.505] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 1): 
[08:22.505] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 2): 
[08:22.823] app   | ImageReassembler: Sequence gap — expected 50, got 1 (412 total gaps)
[08:24.323] himax | Finished sending 26439 bytes (110 packets)
[08:24.323] himax | Sending 48 bytes: Header 4, payload 42, checksum 2 'Finished sending 26439 bytes (110 packets)'
[08:24.639] himax | MKL62BA command received: 'slots'
[08:24.940] nrf   | BLE out: Failed to send  28 bytes: 'AI processor not responding'
[08:24.940] nrf   | BLE out: Failed to send  28 bytes: 'AI processor not responding'
[08:24.940] nrf   | BLE out: Failed to send  28 bytes: 'AI processor not responding'
[08:24.940] nrf   | BLE out: Failed to send  28 bytes: 'AI processor not responding'
[08:25.160] app   | ImageReassembler: Transfer complete! Received 26439/26439 (412 gaps)
[08:25.160] app   | ImageReassembler: Image has 412 sequence gaps — may be corrupt
[08:25.207] app   | ImageReassembler: Image saved to file:///data/user/0/com.wildlife.wildlifewatcher.expo/cache/capture_1788417349449.jpg [SUCCESS] [412 gaps] (26439/26439 bytes)
[08:25.207] app   | '[useCapturePreview] Image download complete, URI:', 'file:///data/user/0/com.wildlife.wildlifewatcher.expo/cache/capture_1788417349449.jpg'
[08:25.255] nrf   | BLE out: Sent  28 bytes: 'AI processor not responding'
[08:25.341] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: AI processor not responding
[08:25.756] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Finished sending 26439 bytes (110 packets)
[08:25.856] himax | Inactive for 1000ms
[08:25.856] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[08:25.856] himax | Image task ready to sleep.
[08:25.856] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[08:25.856] himax | >>> Entering DPD at 2024:01:01 00:00:47
[08:26.156] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[08:26.579] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[08:27.090] app   | Written AI getop -1 to the device WILD-CNKW (18:35:51-374)
[08:27.405] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[08:27.405] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[08:28.005] himax | Inactivity period set at 1000ms
[08:28.090] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[08:28.307] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[08:28.307] himax | MKL62BA command received: 'selftest'
[08:28.307] himax | MKL62BA command received: 'getop -1'
[08:28.957] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 22 0 0 7 62 1 500 0 1000 80 1 0 100 1 0 0 18 1 0 16 0 2 50 65 15 0 0 286 326 1 110 1 
[08:29.223] himax | Inactive for 1000ms
[08:29.223] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[08:29.392] app   | [Resolution] firmware exposes 32 ops, no op32: hi-res unavailable
[08:29.406] app   | Written AI getop -1 to the device WILD-CNKW (18:35:53-702)
[08:29.440] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[08:29.524] himax | Image task ready to sleep.
[08:29.524] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[08:29.524] himax | >>> Entering DPD at 2024:01:01 00:00:51
[08:29.524] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[08:29.524] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[08:30.075] app   | [useCapturePreview] Download timed out (30s inactivity). Force finalizing.
[08:30.085] app   | ImageReassembler: Received force_finalize signal
[08:30.139] himax | Inactivity period set at 1000ms
[08:30.216] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[08:30.224] app   | [OpCache] dropped on wake for D6:47:9B:89:E7:23
[08:30.440] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[08:30.440] himax | MKL62BA command received: 'selftest'
[08:30.440] himax | MKL62BA command received: 'getop -1'
