# Motion detection test timing, WILD-SIFK, dev build with Metro, re-measure of ww-mobile-app #273 after #326
# Started 2026-09-23 09:53:19. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (given)
# nrf   = COM5 @ 115200 (given)
#
[01:58.249] nrf   | <info> app: Conn params applied: interval 156 units (195ms), timeout 4000ms
[02:16.598] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: About to capture 20 images with an interval of '1000' milliseconds
[02:16.648] app   | [MotionDetectionStream] Capture confirmed on attempt 1
[02:16.648] app   | [MotionDetectionStream] Capture 20 frames @ 1000ms — firmware running.
[02:16.648] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: NN+
[02:16.681] himax | Skipping file save.
[02:16.715] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 AE regs:
[02:16.715] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Integration time = 125 lines
[02:16.715] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Analog gain = 0
[02:16.715] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Digital gain = 64
[02:16.715] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AE Mean = 86
[02:16.715] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AEConverged?: Y
[02:16.797] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 motion in 0 blocks:
[02:16.797] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
[02:16.881] nrf   | BLE out: Sent 118 bytes: 'HM0360 AE regs:
[02:16.881] nrf   | <info> app: I2C RX payload 123/250 bytes. Response type is 4. CRC OK (0x7C2A)
[02:16.881] nrf   | BLE out: Sent 124 bytes: 'HM0360 motion in 0 blocks:
[02:16.881] nrf   | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 '
[02:17.295] himax | Class 'no person': 40.2% (raw: -51)
[02:17.295] himax | Class 'person': 60.0% (raw: 51)
[02:17.295] himax | Class 0 'no person' = logit -51
[02:17.295] himax | Class 1 'person' = logit 51
[02:17.295] himax | TARGET OBJECT DETECTED!
[02:17.295] himax | Sending 9 bytes: Header 4, payload 3, checksum 2 'NN+'
[02:17.295] himax | Score 51/128 (Threshold 18)
[02:17.295] himax | HM0360 AE regs:
[02:17.295] himax | Sending 123 bytes: Header 4, payload 117, checksum 2 'HM0360 AE regs:
[02:17.490] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: NN+
[02:17.556] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 AE regs:
[02:17.557] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Integration time = 125 lines
[02:17.558] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Analog gain = 0
[02:17.558] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Digital gain = 64
[02:17.558] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AE Mean = 88
[02:17.558] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AEConverged?: Y
[02:17.598] himax | HM0360 motion in 0 blocks:
[02:17.598] himax | 00 00 00 00 00 00 00 
[02:17.598] himax | Sending 129 bytes: Header 4, payload 123, checksum 2 'HM0360 motion in 0 blocks:
[02:17.598] himax | Skipping file save.
[02:17.665] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 motion in 0 blocks:
[02:17.665] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
[02:17.782] nrf   | <info> app: I2C RX payload 3/250 bytes. Response type is 4. CRC OK (0xE69E)
[02:17.782] nrf   | BLE out: Sent   4 bytes: 'NN+'
[02:17.782] nrf   | <info> app: I2C RX payload 117/250 bytes. Response type is 4. CRC OK (0x29DE)
[02:17.782] nrf   | BLE out: Sent 118 bytes: 'HM0360 AE regs:
[02:17.782] nrf   | <info> app: I2C RX payload 123/250 bytes. Response type is 4. CRC OK (0x7C2A)
[02:17.782] nrf   | BLE out: Sent 124 bytes: 'HM0360 motion in 0 blocks:
[02:17.782] nrf   | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 '
[02:18.329] himax | Class 'no person': 41.1% (raw: -46)
[02:18.329] himax | Class 'person': 59.0% (raw: 46)
[02:18.329] himax | Class 0 'no person' = logit -46
[02:18.329] himax | Class 1 'person' = logit 46
[02:18.329] himax | TARGET OBJECT DETECTED!
[02:18.329] himax | Sending 9 bytes: Header 4, payload 3, checksum 2 'NN+'
[02:18.329] himax | Score 46/128 (Threshold 18)
[02:18.329] himax | HM0360 AE regs:
[02:18.329] himax | Sending 123 bytes: Header 4, payload 117, checksum 2 'HM0360 AE regs:
[02:18.329] himax | HM0360 motion in 0 blocks:
[02:18.329] himax |  00 00 00 00 00 00 00 
[02:18.329] himax | Sending 129 bytes: Header 4, payload 123, checksum 2 'HM0360 motion in 0 blocks:
[02:18.329] himax | Skipping file save.
[02:18.466] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: NN+
[02:18.552] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 AE regs:
[02:18.553] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Integration time = 117 lines
[02:18.554] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Analog gain = 0
[02:18.557] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Digital gain = 64
[02:18.558] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AE Mean = 92
[02:18.558] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AEConverged?: N
[02:18.633] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 motion in 0 blocks:
[02:18.633] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
[02:18.697] nrf   | <info> app: I2C RX payload 3/250 bytes. Response type is 4. CRC OK (0xE69E)
[02:18.697] nrf   | BLE out: Sent   4 bytes: 'NN+'
[02:18.697] nrf   | <info> app: I2C RX payload 117/250 bytes. Response type is 4. CRC OK (0x15F5)
[02:18.697] nrf   | BLE out: Sent 118 bytes: 'HM0360 AE regs:
[02:18.697] nrf   | <info> app: I2C RX payload 123/250 bytes. Response type is 4. CRC OK (0x7C2A)
[02:18.697] nrf   | BLE out: Sent 124 bytes: 'HM0360 motion in 0 blocks:
[02:18.697] nrf   | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 '
[02:19.315] himax | Class 'no person': 46.3% (raw: -19)
[02:19.315] himax | Class 'person': 54.0% (raw: 19)
[02:19.315] himax | Class 0 'no person' = logit -19
[02:19.315] himax | Class 1 'person' = logit 19
[02:19.315] himax | TARGET OBJECT DETECTED!
[02:19.315] himax | Sending 9 bytes: Header 4, payload 3, checksum 2 'NN+'
[02:19.315] himax | Score 19/128 (Threshold 18)
[02:19.315] himax | HM0360 AE regs:
[02:19.315] himax | Sending 123 bytes: Header 4, payload 117, checksum 2 'HM0360 AE regs:
[02:19.315] himax | HM0360 motion in 14 blocks:
[02:19.315] himax | Sending 130 bytes: Header 4, payload 124, checksum 2 'HM0360 motion in 14 blocks:
[02:19.315] himax | Skipping file save.
[02:19.432] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: NN+
[02:19.531] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 AE regs:
[02:19.531] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Integration time = 104 lines
[02:19.531] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Analog gain = 0
[02:19.531] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Digital gain = 64
[02:19.531] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AE Mean = 77
[02:19.531] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AEConverged?: Y
[02:19.612] nrf   | <info> app: I2C RX payload 3/250 bytes. Response type is 4. CRC OK (0xE69E)
[02:19.612] nrf   | BLE out: Sent   4 bytes: 'NN+'
[02:19.612] nrf   | <info> app: I2C RX payload 117/250 bytes. Response type is 4. CRC OK (0x8E8C)
[02:19.612] nrf   | BLE out: Sent 118 bytes: 'HM0360 AE regs:
[02:19.612] nrf   | <info> app: I2C RX payload 124/250 bytes. Response type is 4. CRC OK (0x4C26)
[02:19.612] nrf   | BLE out: Sent 125 bytes: 'HM0360 motion in 14 blocks:
[02:19.612] nrf   | 00 f2 00 50 00 e8 00 10 00 40 00 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 '
[02:19.631] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 motion in 14 blocks:
[02:19.631] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: 00 f2 00 50 00 e8 00 10 00 40 00 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
[02:20.314] himax | Class 'no person': 39.0% (raw: -57)
[02:20.314] himax | Class 'person': 61.0% (raw: 57)
[02:20.314] himax | Class 0 'no person' = logit -57
[02:20.314] himax | Class 1 'person' = logit 57
[02:20.314] himax | TARGET OBJECT DETECTED!
[02:20.314] himax | Sending 9 bytes: Header 4, payload 3, checksum 2 'NN+'
[02:20.314] himax | Score 57/128 (Threshold 18)
[02:20.314] himax | HM0360 AE regs:
[02:20.314] himax | Sending 123 bytes: Header 4, payload 117, checksum 2 'HM0360 AE regs:
[02:20.314] himax | HM0360 motion in 15 blocks:
[02:20.314] himax | Sending 130 bytes: Header 4, payload 124, checksum 2 'HM0360 motion in 15 blocks:
[02:20.314] himax | Skipping file save.
[02:20.397] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: NN+
[02:20.499] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 AE regs:
[02:20.499] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Integration time = 104 lines
[02:20.499] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Analog gain = 0
[02:20.499] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Digital gain = 64
[02:20.499] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AE Mean = 80
[02:20.499] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AEConverged?: Y
[02:20.531] nrf   | <info> app: I2C RX payload 3/250 bytes. Response type is 4. CRC OK (0xE69E)
[02:20.531] nrf   | BLE out: Sent   4 bytes: 'NN+'
[02:20.531] nrf   | <info> app: I2C RX payload 117/250 bytes. Response type is 4. CRC OK (0x8133)
[02:20.531] nrf   | BLE out: Sent 118 bytes: 'HM0360 AE regs:
[02:20.531] nrf   | <info> app: I2C RX payload 124/250 bytes. Response type is 4. CRC OK (0xBFD0)
[02:20.531] nrf   | BLE out: Sent 125 bytes: 'HM0360 motion in 15 blocks:
[02:20.531] nrf   | 00 73 00 50 00 ec 00 10 00 40 00 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 '
[02:20.612] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 motion in 15 blocks:
[02:20.613] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: 00 73 00 50 00 ec 00 10 00 40 00 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
[02:21.302] himax | Class 'no person': 39.4% (raw: -55)
[02:21.302] himax | Class 'person': 61.0% (raw: 55)
[02:21.302] himax | Class 0 'no person' = logit -55
[02:21.302] himax | Class 1 'person' = logit 55
[02:21.302] himax | TARGET OBJECT DETECTED!
[02:21.302] himax | Sending 9 bytes: Header 4, payload 3, checksum 2 'NN+'
[02:21.302] himax | Score 55/128 (Threshold 18)
[02:21.302] himax | HM0360 AE regs:
[02:21.302] himax | Sending 123 bytes: Header 4, payload 117, checksum 2 'HM0360 AE regs:
[02:21.302] himax | HM0360 motion in 0 blocks:
[02:21.302] himax |  00 00 00 00 00 00 00 
[02:21.302] himax | Sending 129 bytes: Header 4, payload 123, checksum 2 'HM0360 motion in 0 blocks:
[02:21.302] himax | Skipping file save.
[02:21.387] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: NN+
[02:21.495] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 AE regs:
[02:21.495] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Integration time = 104 lines
[02:21.498] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Analog gain = 0
[02:21.498] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Digital gain = 64
[02:21.500] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AE Mean = 82
[02:21.500] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AEConverged?: Y
[02:21.600] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 motion in 0 blocks:
[02:21.612] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
[02:21.762] nrf   | <info> app: I2C RX payload 3/250 bytes. Response type is 4. CRC OK (0xE69E)
[02:21.762] nrf   | BLE out: Sent   4 bytes: 'NN+'
[02:21.762] nrf   | <info> app: I2C RX payload 117/250 bytes. Response type is 4. CRC OK (0x2D2C)
[02:21.762] nrf   | BLE out: Sent 118 bytes: 'HM0360 AE regs:
[02:21.762] nrf   | <info> app: I2C RX payload 123/250 bytes. Response type is 4. CRC OK (0x7C2A)
[02:21.762] nrf   | BLE out: Sent 124 bytes: 'HM0360 motion in 0 blocks:
[02:21.762] nrf   | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 '
[02:22.231] himax | Class 'no person': 40.0% (raw: -53)
[02:22.231] himax | Class 'person': 60.2% (raw: 53)
[02:22.365] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: NN+
[02:22.365] himax | Class 0 'no person' = logit -53
[02:22.365] himax | Class 1 'person' = logit 53
[02:22.365] himax | TARGET OBJECT DETECTED!
[02:22.365] himax | Sending 9 bytes: Header 4, payload 3, checksum 2 'NN+'
[02:22.365] himax | Score 53/128 (Threshold 18)
[02:22.365] himax | HM0360 AE regs:
[02:22.365] himax | Sending 123 bytes: Header 4, payload 117, checksum 2 'HM0360 AE regs:
[02:22.365] himax | HM0360 motion in 0 blocks:
[02:22.365] himax | 00 00 00 00 00 00 00 
[02:22.365] himax | Sending 129 bytes: Header 4, payload 123, checksum 2 'HM0360 motion in 0 blocks:
[02:22.365] himax | Skipping file save.
[02:22.666] nrf   | <info> app: I2C RX payload 3/250 bytes. Response type is 4. CRC OK (0xE69E)
[02:22.666] nrf   | BLE out: Sent   4 bytes: 'NN+'
[02:22.666] nrf   | <info> app: I2C RX payload 117/250 bytes. Response type is 4. CRC OK (0xF333)
[02:22.666] nrf   | BLE out: Sent 118 bytes: 'HM0360 AE regs:
[02:22.666] nrf   | <info> app: I2C RX payload 123/250 bytes. Response type is 4. CRC OK (0x7C2A)
[02:22.666] nrf   | BLE out: Sent 124 bytes: 'HM0360 motion in 0 blocks:
[02:22.666] nrf   | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 '
[02:22.763] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 AE regs:
[02:22.766] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Integration time = 104 lines
[02:22.766] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Analog gain = 0
[02:22.766] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Digital gain = 64
[02:22.766] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AE Mean = 83
[02:22.766] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AEConverged?: Y
[02:22.925] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 motion in 0 blocks:
[02:22.929] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
[02:23.131] app   | 'VirtualizedList: You have a large list that is slow to update - make sure your renderItem function renders components that follow React performance best practices like PureComponent, shouldComponentUpdate, etc.', { dt: 627, prevDt: 765, contentLength: 5601.52392578125 }
[02:23.279] himax | Class 'no person': 40.2% (raw: -51)
[02:23.279] himax | Class 'person': 60.0% (raw: 51)
[02:23.279] himax | Class 0 'no person' = logit -51
[02:23.279] himax | Class 1 'person' = logit 51
[02:23.279] himax | TARGET OBJECT DETECTED!
[02:23.279] himax | Sending 9 bytes: Header 4, payload 3, checksum 2 'NN+'
[02:23.279] himax | Score 51/128 (Threshold 18)
[02:23.279] himax | HM0360 AE regs:
[02:23.279] himax | Sending 123 bytes: Header 4, payload 117, checksum 2 'HM0360 AE regs:
[02:23.279] himax | HM0360 motion in 0 blocks:
[02:23.279] himax | 0 00 00 00 00 00 00 
[02:23.279] himax | Sending 129 bytes: Header 4, payload 123, checksum 2 'HM0360 motion in 0 blocks:
[02:23.318] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: NN+
[02:23.520] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 AE regs:
[02:23.520] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Integration time = 104 lines
[02:23.531] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Analog gain = 0
[02:23.531] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Digital gain = 64
[02:23.531] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AE Mean = 83
[02:23.531] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AEConverged?: Y
[02:23.582] himax | Skipping file save.
[02:23.582] nrf   | <info> app: I2C RX payload 3/250 bytes. Response type is 4. CRC OK (0xE69E)
[02:23.582] nrf   | BLE out: Sent   4 bytes: 'NN+'
[02:23.582] nrf   | <info> app: I2C RX payload 117/250 bytes. Response type is 4. CRC OK (0xF333)
[02:23.582] nrf   | BLE out: Sent 118 bytes: 'HM0360 AE regs:
[02:23.582] nrf   | <info> app: I2C RX payload 123/250 bytes. Response type is 4. CRC OK (0x7C2A)
[02:23.582] nrf   | BLE out: Sent 124 bytes: 'HM0360 motion in 0 blocks:
[02:23.582] nrf   | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 '
[02:23.698] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 motion in 0 blocks:
[02:23.698] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
[02:24.265] himax | Class 'no person': 46.0% (raw: -21)
[02:24.265] himax | Class 'person': 54.1% (raw: 21)
[02:24.265] himax | Class 0 'no person' = logit -21
[02:24.265] himax | Class 1 'person' = logit 21
[02:24.265] himax | TARGET OBJECT DETECTED!
[02:24.265] himax | Sending 9 bytes: Header 4, payload 3, checksum 2 'NN+'
[02:24.265] himax | Score 21/128 (Threshold 18)
[02:24.265] himax | HM0360 AE regs:
[02:24.265] himax | Sending 123 bytes: Header 4, payload 117, checksum 2 'HM0360 AE regs:
[02:24.265] himax | HM0360 motion in 26 blocks:
[02:24.265] himax | 0 00 00 00 00 00 00 
[02:24.265] himax | Sending 130 bytes: Header 4, payload 124, checksum 2 'HM0360 motion in 26 blocks:
[02:24.265] himax | Skipping file save.
[02:24.316] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: NN+
[02:24.482] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 AE regs:
[02:24.482] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Integration time = 104 lines
[02:24.482] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Analog gain = 0
[02:24.482] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Digital gain = 64
[02:24.497] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AE Mean = 77
[02:24.497] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AEConverged?: Y
[02:24.512] nrf   | <info> app: I2C RX payload 3/250 bytes. Response type is 4. CRC OK (0xE69E)
[02:24.512] nrf   | BLE out: Sent   4 bytes: 'NN+'
[02:24.512] nrf   | <info> app: I2C RX payload 117/250 bytes. Response type is 4. CRC OK (0x8E8C)
[02:24.512] nrf   | BLE out: Sent 118 bytes: 'HM0360 AE regs:
[02:24.512] nrf   | <info> app: I2C RX payload 124/250 bytes. Response type is 4. CRC OK (0x23C7)
[02:24.512] nrf   | BLE out: Sent 125 bytes: 'HM0360 motion in 26 blocks:
[02:24.512] nrf   | 30 0b 30 14 30 e4 00 06 80 00 00 00 40 00 00 00 80 00 00 be 00 00 00 00 00 00 00 00 00 00 00 00 '
[02:24.616] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 motion in 26 blocks:
[02:24.617] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: 30 0b 30 14 30 e4 00 06 80 00 00 00 40 00 00 00 80 00 00 be 00 00 00 00 00 00 00 00 00 00 00 00 
[02:25.265] himax | Class 'no person': 40.0% (raw: -52)
[02:25.265] himax | Class 'person': 60.0% (raw: 52)
[02:25.265] himax | Class 0 'no person' = logit -52
[02:25.265] himax | Class 1 'person' = logit 52
[02:25.265] himax | TARGET OBJECT DETECTED!
[02:25.265] himax | Sending 9 bytes: Header 4, payload 3, checksum 2 'NN+'
[02:25.265] himax | Score 52/128 (Threshold 18)
[02:25.265] himax | HM0360 AE regs:
[02:25.265] himax | Sending 123 bytes: Header 4, payload 117, checksum 2 'HM0360 AE regs:
[02:25.265] himax | HM0360 motion in 23 blocks:
[02:25.265] himax |  00 00 00 00 00 00 00 
[02:25.265] himax | Sending 130 bytes: Header 4, payload 124, checksum 2 'HM0360 motion in 23 blocks:
[02:25.265] himax | Skipping file save.
[02:25.281] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: NN+
[02:25.664] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 AE regs:
[02:25.664] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Integration time = 104 lines
[02:25.664] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Analog gain = 0
[02:25.664] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Digital gain = 64
[02:25.664] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AE Mean = 83
[02:25.664] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AEConverged?: Y
[02:25.729] nrf   | <info> app: I2C RX payload 3/250 bytes. Response type is 4. CRC OK (0xE69E)
[02:25.729] nrf   | BLE out: Sent   4 bytes: 'NN+'
[02:25.729] nrf   | <info> app: I2C RX payload 117/250 bytes. Response type is 4. CRC OK (0xF333)
[02:25.729] nrf   | BLE out: Sent 118 bytes: 'HM0360 AE regs:
[02:25.729] nrf   | <info> app: I2C RX payload 124/250 bytes. Response type is 4. CRC OK (0x26CD)
[02:25.729] nrf   | BLE out: Sent 125 bytes: 'HM0360 motion in 23 blocks:
[02:25.729] nrf   | 30 0b 30 14 30 64 00 06 00 00 00 00 00 00 00 00 80 00 00 be 00 00 00 00 00 00 00 00 00 00 00 00 '
[02:25.849] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 motion in 23 blocks:
[02:25.849] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: 30 0b 30 14 30 64 00 06 00 00 00 00 00 00 00 00 80 00 00 be 00 00 00 00 00 00 00 00 00 00 00 00 
[02:26.249] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: NN+
[02:26.257] himax | Class 'no person': 42.0% (raw: -43)
[02:26.257] himax | Class 'person': 58.3% (raw: 43)
[02:26.257] himax | Class 0 'no person' = logit -43
[02:26.257] himax | Class 1 'person' = logit 43
[02:26.257] himax | TARGET OBJECT DETECTED!
[02:26.257] himax | Sending 9 bytes: Header 4, payload 3, checksum 2 'NN+'
[02:26.257] himax | Score 43/128 (Threshold 18)
[02:26.257] himax | HM0360 AE regs:
[02:26.257] himax | Sending 123 bytes: Header 4, payload 117, checksum 2 'HM0360 AE regs:
[02:26.257] himax | HM0360 motion in 0 blocks:
[02:26.257] himax | 0 00 00 00 00 00 00 
[02:26.257] himax | Sending 129 bytes: Header 4, payload 123, checksum 2 'HM0360 motion in 0 blocks:
[02:26.257] himax | Skipping file save.
[02:26.431] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 AE regs:
[02:26.448] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Integration time = 104 lines
[02:26.448] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Analog gain = 0
[02:26.448] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   Digital gain = 64
[02:26.448] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AE Mean = 84
[02:26.448] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06:   AEConverged?: Y
[02:26.598] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: HM0360 motion in 0 blocks:
[02:26.607] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
[02:26.633] nrf   | <info> app: I2C RX payload 3/250 bytes. Response type is 4. CRC OK (0xE69E)
[02:26.633] nrf   | BLE out: Sent   4 bytes: 'NN+'
[02:26.633] nrf   | <info> app: I2C RX payload 117/250 bytes. Response type is 4. CRC OK (0xC92C)
[02:26.633] nrf   | BLE out: Sent 118 bytes: 'HM0360 AE regs:
[02:26.633] nrf   | <info> app: I2C RX payload 123/250 bytes. Response type is 4. CRC OK (0x7C2A)
[02:26.633] nrf   | BLE out: Sent 124 bytes: 'HM0360 motion in 0 blocks:
[02:26.633] nrf   | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 '
[02:27.249] himax | Class 'no person': 41.0% (raw: -47)
[02:27.249] himax | Class 'person': 59.1% (raw: 47)
[02:27.249] himax | Class 0 'no person' = logit -47
[02:27.249] himax | Class 1 'person' = logit 47
[02:27.249] himax | TARGET OBJECT DETECTED!
